Bangla,English
বেটা তোরে ধইরা জুতামু,"Man, I will beat you with shoes"
প্রেসেন্টেশন হয় না যতটুকু জানি,"As far as I know, there is no presentation"
হ্যাঁ অ্যাড করতে পারবা,"Yes, you can add"
রেজিস্টার এর পরে কি সুপারভিসর অ্যাড করা যায়?,Can a supervisor be added after the registration
টপিক কেমনে বানাইসো?,How did you come up with the topic?
প্রজেক্টও থাকবে আমার মনে হয়,I guess there will also be project
সে ডাইনোসরের মতো চলে গেসে,He went away like a dinasaur
জোর করে আমার হাতে দশ টাকা নানী ধরায়ে দিতো,My grandma would hand me 10 taka by force
আসতে পারমু না বিরিয়ানি রান্না করসে,I cannot come as biriyani has benn prepared
দেখেছো আমার কপালটা কতো বড়ো,Do you see how much big is my forehead?
পানতা আমি খাই না,I do not eat rice mixed with water
পুঁটি মাছ পাই না,I cannot find puti fish
অমনি ধরে গাপুস গুপুস খাই,I eat it hastily like that
বাপ মার চোখের পানি ফালাইয়া কেউ সুখী হইতে পারে নাই,Nobody could be happy after they have made their parents cry
মার্ক্স্ কোই দেখবো বুঝতেসিনা,Don't know from where should I see my marks
মাইরের উপর ওষুধ নাই,There is no better medicines than beating
কিরে ভর্তির সময় না বলি তোর সেমেস্টার আটটা?,"Hey, during admission, didn't you say you had eight semesters?"
আয়হায় থুতু খেয়ে ফেলসি,"Oh no, I drank my saliva"
ওরা করলে লীলা আর আমি করলে ব্যবসায়ী,"If they do it, it is alright but if I do it then I am a businessman?"
এই জিনিসটা জীবনে একবার হলেও খাইসি,I ate this even for once in my lifetime
কেউ রসমালাইকে হারাইতে পারবে না,No one can defeat rasmalai
তাই বলে এভাবে প্রাঙ্ক করবেন?,So you will prank me like this?
পৃথিবীর সপ্তম আশ্চর্য কি অভিনয় রে ভাই,"The world's seven wonder, oh brother, what an acting"
